"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Koruza za zrnje","2010","Osrednjeslovenska",6.8
"Koruza za zrnje","2010","Gorenjska",8.7
"Koruza za zrnje","2010","Primorsko-notranjska",7.3
"Koruza za zrnje","2010","Goriška",8.8
"Koruza za zrnje","2010","Obalno-kraška",6.5
"Koruza za zrnje","2011","Pomurska",9.6
"Koruza za zrnje","2011","Podravska",9.0
"Koruza za zrnje","2011","Koroška",7.8
"Koruza za zrnje","2011","Savinjska",6.3
"Koruza za zrnje","2011","Zasavska",4.1
"Koruza za zrnje","2011","Posavska",5.6
"Koruza za zrnje","2011","Jugovzhodna Slovenija",8.1
"Koruza za zrnje","2011","Osrednjeslovenska",7.4
"Koruza za zrnje","2011","Gorenjska",9.3
"Koruza za zrnje","2011","Primorsko-notranjska",7.0
"Koruza za zrnje","2011","Goriška",8.4
"Koruza za zrnje","2011","Obalno-kraška",6.2
"Koruza za zrnje","2012","Pomurska",7.5
"Koruza za zrnje","2012","Podravska",7.4
"Koruza za zrnje","2012","Koroška",7.5
"Koruza za zrnje","2012","Savinjska",7.2
"Koruza za zrnje","2012","Zasavska",3.3
"Koruza za zrnje","2012","Posavska",5.5
"Koruza za zrnje","2012","Jugovzhodna Slovenija",6.3
"Koruza za zrnje","2012","Osrednjeslovenska",6.4
"Koruza za zrnje","2012","Gorenjska",7.7
"Koruza za zrnje","2012","Primorsko-notranjska",3.9
"Koruza za zrnje","2012","Goriška",2.5
"Koruza za zrnje","2012","Obalno-kraška",2.8
"Koruza za zrnje","2013","Pomurska",5.6
"Koruza za zrnje","2013","Podravska",5.8
"Koruza za zrnje","2013","Koroška",4.0
"Koruza za zrnje","2013","Savinjska",4.4
"Koruza za zrnje","2013","Zasavska",2.8
"Koruza za zrnje","2013","Posavska",4.4
"Koruza za zrnje","2013","Jugovzhodna Slovenija",4.9
"Koruza za zrnje","2013","Osrednjeslovenska",5.2
"Koruza za zrnje","2013","Gorenjska",5.4
"Koruza za zrnje","2013","Primorsko-notranjska",5.5
"Koruza za zrnje","2013","Goriška",2.8
"Koruza za zrnje","2013","Obalno-kraška",3.9
"Koruza za zrnje","2014","Pomurska",9.2
"Koruza za zrnje","2014","Podravska",9.4
"Koruza za zrnje","2014","Koroška",7.6
"Koruza za zrnje","2014","Savinjska",8.1
"Koruza za zrnje","2014","Zasavska",4.3
"Koruza za zrnje","2014","Posavska",9.0
"Koruza za zrnje","2014","Jugovzhodna Slovenija",9.1
"Koruza za zrnje","2014","Osrednjeslovenska",8.1
"Koruza za zrnje","2014","Gorenjska",8.9
"Koruza za zrnje","2014","Primorsko-notranjska",7.2
"Koruza za zrnje","2014","Goriška",9.4
"Koruza za zrnje","2014","Obalno-kraška",6.1
"Koruza za zrnje","2015","Pomurska",9.0
"Koruza za zrnje","2015","Podravska",9.4
"Koruza za zrnje","2015","Koroška",7.3
"Koruza za zrnje","2015","Savinjska",7.9
"Koruza za zrnje","2015","Zasavska",5.0
"Koruza za zrnje","2015","Posavska",8.9
"Koruza za zrnje","2015","Jugovzhodna Slovenija",8.7
"Koruza za zrnje","2015","Osrednjeslovenska",7.1
"Koruza za zrnje","2015","Gorenjska",9.5
"Koruza za zrnje","2015","Primorsko-notranjska",7.4
"Koruza za zrnje","2015","Goriška",7.7
"Koruza za zrnje","2015","Obalno-kraška",5.7
"Koruza za zrnje","2016","Pomurska",10.0
"Koruza za zrnje","2016","Podravska",9.4
"Koruza za zrnje","2016","Koroška",8.6
"Koruza za zrnje","2016","Savinjska",8.0
"Koruza za zrnje","2016","Zasavska",4.8
"Koruza za zrnje","2016","Posavska",9.8
"Koruza za zrnje","2016","Jugovzhodna Slovenija",10.0
"Koruza za zrnje","2016","Osrednjeslovenska",7.0
"Koruza za zrnje","2016","Gorenjska",9.4
"Koruza za zrnje","2016","Primorsko-notranjska",7.3
"Koruza za zrnje","2016","Goriška",6.3
"Koruza za zrnje","2016","Obalno-kraška",4.6
"Koruza za zrnje","2017","Pomurska",7.6
"Koruza za zrnje","2017","Podravska",7.4
"Koruza za zrnje","2017","Koroška",7.3
"Koruza za zrnje","2017","Savinjska",5.2
"Koruza za zrnje","2017","Zasavska",3.9
"Koruza za zrnje","2017","Posavska",5.4
"Koruza za zrnje","2017","Jugovzhodna Slovenija",5.9
"Koruza za zrnje","2017","Osrednjeslovenska",6.3
"Koruza za zrnje","2017","Gorenjska",9.0
"Koruza za zrnje","2017","Primorsko-notranjska",5.1
"Koruza za zrnje","2017","Goriška",6.6
"Koruza za zrnje","2017","Obalno-kraška",4.2
"Koruza za zrnje","2018","Pomurska",9.4
"Koruza za zrnje","2018","Podravska",10.0
"Koruza za zrnje","2018","Koroška",9.2
"Koruza za zrnje","2018","Savinjska",7.1
"Koruza za zrnje","2018","Zasavska",4.6
"Koruza za zrnje","2018","Posavska",9.6
"Koruza za zrnje","2018","Jugovzhodna Slovenija",10.0
"Koruza za zrnje","2018","Osrednjeslovenska",6.8
"Koruza za zrnje","2018","Gorenjska",9.6
"Koruza za zrnje","2018","Primorsko-notranjska",8.0
"Koruza za zrnje","2018","Goriška",9.0
"Koruza za zrnje","2018","Obalno-kraška",6.4
"Koruza za zrnje","2019","Pomurska",9.9
"Koruza za zrnje","2019","Podravska",9.2
"Koruza za zrnje","2019","Koroška",8.7
"Koruza za zrnje","2019","Savinjska",6.6
"Koruza za zrnje","2019","Zasavska",4.7
"Koruza za zrnje","2019","Posavska",9.8
"Koruza za zrnje","2019","Jugovzhodna Slovenija",8.8
"Koruza za zrnje","2019","Osrednjeslovenska",6.7
"Koruza za zrnje","2019","Gorenjska",8.7
"Koruza za zrnje","2019","Primorsko-notranjska",7.9
"Koruza za zrnje","2019","Goriška",5.1
"Koruza za zrnje","2019","Obalno-kraška",5.7
"Silažna koruza","2010","Pomurska",46.8
"Silažna koruza","2010","Podravska",45.2
"Silažna koruza","2010","Koroška",41.3
"Silažna koruza","2010","Savinjska",40.7
"Silažna koruza","2010","Zasavska",38.6
"Silažna koruza","2010","Posavska",40.7
"Silažna koruza","2010","Jugovzhodna Slovenija",40.5
"Silažna koruza","2010","Osrednjeslovenska",45.1
"Silažna koruza","2010","Gorenjska",48.5
"Silažna koruza","2010","Primorsko-notranjska",44.3
"Silažna koruza","2010","Goriška",39.5
"Silažna koruza","2010","Obalno-kraška",44.0
"Silažna koruza","2011","Pomurska",68.1
"Silažna koruza","2011","Podravska",45.7
"Silažna koruza","2011","Koroška",41.7
"Silažna koruza","2011","Savinjska",40.7
"Silažna koruza","2011","Zasavska",39.7
"Silažna koruza","2011","Posavska",28.8
"Silažna koruza","2011","Jugovzhodna Slovenija",42.6
"Silažna koruza","2011","Osrednjeslovenska",47.9
"Silažna koruza","2011","Gorenjska",51.0
"Silažna koruza","2011","Primorsko-notranjska",40.5
"Silažna koruza","2011","Goriška",40.2
"Silažna koruza","2011","Obalno-kraška",52.0
"Silažna koruza","2012","Pomurska",38.0
"Silažna koruza","2012","Podravska",39.7
"Silažna koruza","2012","Koroška",40.6
"Silažna koruza","2012","Savinjska",36.7
"Silažna koruza","2012","Zasavska",34.7
"Silažna koruza","2012","Posavska",30.0
"Silažna koruza","2012","Jugovzhodna Slovenija",35.1
"Silažna koruza","2012","Osrednjeslovenska",43.2
"Silažna koruza","2012","Gorenjska",47.2
"Silažna koruza","2012","Primorsko-notranjska",23.9
"Silažna koruza","2012","Goriška",14.4
"Silažna koruza","2012","Obalno-kraška",38.0
"Silažna koruza","2013","Pomurska",30.6
"Silažna koruza","2013","Podravska",32.5
"Silažna koruza","2013","Koroška",28.4
"Silažna koruza","2013","Savinjska",26.1
"Silažna koruza","2013","Zasavska",31.1
"Silažna koruza","2013","Posavska",26.8
"Silažna koruza","2013","Jugovzhodna Slovenija",21.9
"Silažna koruza","2013","Osrednjeslovenska",34.0
"Silažna koruza","2013","Gorenjska",35.6
"Silažna koruza","2013","Primorsko-notranjska",31.0
"Silažna koruza","2013","Goriška",18.9
"Silažna koruza","2013","Obalno-kraška",32.0
"Silažna koruza","2014","Pomurska",47.7
"Silažna koruza","2014","Podravska",46.1
"Silažna koruza","2014","Koroška",42.0
"Silažna koruza","2014","Savinjska",48.3
"Silažna koruza","2014","Zasavska",44.6
"Silažna koruza","2014","Posavska",43.8
"Silažna koruza","2014","Jugovzhodna Slovenija",47.8
"Silažna koruza","2014","Osrednjeslovenska",49.5
"Silažna koruza","2014","Gorenjska",52.7
"Silažna koruza","2014","Primorsko-notranjska",46.3
"Silažna koruza","2014","Goriška",37.9
"Silažna koruza","2014","Obalno-kraška",47.0
"Silažna koruza","2015","Pomurska",45.9
"Silažna koruza","2015","Podravska",51.0
"Silažna koruza","2015","Koroška",44.2
"Silažna koruza","2015","Savinjska",49.3
"Silažna koruza","2015","Zasavska",47.2
"Silažna koruza","2015","Posavska",47.9
"Silažna koruza","2015","Jugovzhodna Slovenija",47.4
"Silažna koruza","2015","Osrednjeslovenska",51.4
"Silažna koruza","2015","Gorenjska",51.8
"Silažna koruza","2015","Primorsko-notranjska",44.1
"Silažna koruza","2015","Goriška",34.3
"Silažna koruza","2015","Obalno-kraška",45.0
"Silažna koruza","2016","Pomurska",49.6
"Silažna koruza","2016","Podravska",49.5
"Silažna koruza","2016","Koroška",45.6
"Silažna koruza","2016","Savinjska",50.3
"Silažna koruza","2016","Zasavska",38.1
"Silažna koruza","2016","Posavska",47.5
"Silažna koruza","2016","Jugovzhodna Slovenija",49.4
"Silažna koruza","2016","Osrednjeslovenska",50.4
"Silažna koruza","2016","Gorenjska",53.6
"Silažna koruza","2016","Primorsko-notranjska",40.3
"Silažna koruza","2016","Goriška",27.4
"Silažna koruza","2016","Obalno-kraška",40.0
"Silažna koruza","2017","Pomurska",38.5
"Silažna koruza","2017","Podravska",41.7
"Silažna koruza","2017","Koroška",43.0
"Silažna koruza","2017","Savinjska",36.7
"Silažna koruza","2017","Zasavska",33.1
"Silažna koruza","2017","Posavska",28.6
"Silažna koruza","2017","Jugovzhodna Slovenija",29.3
"Silažna koruza","2017","Osrednjeslovenska",45.7
"Silažna koruza","2017","Gorenjska",53.2
"Silažna koruza","2017","Primorsko-notranjska",31.9
"Silažna koruza","2017","Goriška",25.6
"Silažna koruza","2017","Obalno-kraška",35.0
"Silažna koruza","2018","Pomurska",47.2
"Silažna koruza","2018","Podravska",50.8
"Silažna koruza","2018","Koroška",45.4
"Silažna koruza","2018","Savinjska",46.9
"Silažna koruza","2018","Zasavska",41.0
"Silažna koruza","2018","Posavska",48.8
"Silažna koruza","2018","Jugovzhodna Slovenija",48.3
"Silažna koruza","2018","Osrednjeslovenska",50.1
"Silažna koruza","2018","Gorenjska",50.9
"Silažna koruza","2018","Primorsko-notranjska",40.4
"Silažna koruza","2018","Goriška",32.8
"Silažna koruza","2018","Obalno-kraška",43.0
"Silažna koruza","2019","Pomurska",49.8
"Silažna koruza","2019","Podravska",47.5
"Silažna koruza","2019","Koroška",45.6
"Silažna koruza","2019","Savinjska",45.6
"Silažna koruza","2019","Zasavska",40.6
"Silažna koruza","2019","Posavska",51.1
"Silažna koruza","2019","Jugovzhodna Slovenija",42.3
"Silažna koruza","2019","Osrednjeslovenska",49.5
"Silažna koruza","2019","Gorenjska",52.2
"Silažna koruza","2019","Primorsko-notranjska",45.1
"Silažna koruza","2019","Goriška",20.5
"Silažna koruza","2019","Obalno-kraška",30.0
"Krompir","2010","Pomurska",26.9
"Krompir","2010","Podravska",24.4
"Krompir","2010","Koroška",19.0
"Krompir","2010","Savinjska",22.7
"Krompir","2010","Zasavska",16.4
"Krompir","2010","Posavska",21.8
"Krompir","2010","Jugovzhodna Slovenija",21.0
"Krompir","2010","Osrednjeslovenska",25.1
"Krompir","2010","Gorenjska",27.4
"Krompir","2010","Primorsko-notranjska",26.5
"Krompir","2010","Goriška",26.6
"Krompir","2010","Obalno-kraška",23.1
"Krompir","2011","Pomurska",29.3
"Krompir","2011","Podravska",25.6
"Krompir","2011","Koroška",19.5
"Krompir","2011","Savinjska",23.6
"Krompir","2011","Zasavska",18.6
"Krompir","2011","Posavska",24.3
"Krompir","2011","Jugovzhodna Slovenija",24.2
"Krompir","2011","Osrednjeslovenska",27.0
"Krompir","2011","Gorenjska",29.5
"Krompir","2011","Primorsko-notranjska",27.9
"Krompir","2011","Goriška",29.3
"Krompir","2011","Obalno-kraška",22.7
"Krompir","2012","Pomurska",23.2
"Krompir","2012","Podravska",23.9
"Krompir","2012","Koroška",19.0
"Krompir","2012","Savinjska",22.3
"Krompir","2012","Zasavska",17.2
"Krompir","2012","Posavska",24.3
"Krompir","2012","Jugovzhodna Slovenija",23.9
"Krompir","2012","Osrednjeslovenska",24.6
"Krompir","2012","Gorenjska",25.9
"Krompir","2012","Primorsko-notranjska",21.9
"Krompir","2012","Goriška",19.7
"Krompir","2012","Obalno-kraška",15.1
"Krompir","2013","Pomurska",19.9
"Krompir","2013","Podravska",19.9
"Krompir","2013","Koroška",17.0
"Krompir","2013","Savinjska",16.5
"Krompir","2013","Zasavska",20.7
"Krompir","2013","Posavska",21.6
"Krompir","2013","Jugovzhodna Slovenija",15.4
"Krompir","2013","Osrednjeslovenska",20.2
"Krompir","2013","Gorenjska",18.4
"Krompir","2013","Primorsko-notranjska",22.1
"Krompir","2013","Goriška",18.2
"Krompir","2013","Obalno-kraška",15.7
"Krompir","2014","Pomurska",28.9
"Krompir","2014","Podravska",24.7
"Krompir","2014","Koroška",20.5
"Krompir","2014","Savinjska",25.1
"Krompir","2014","Zasavska",18.3
"Krompir","2014","Posavska",30.1
"Krompir","2014","Jugovzhodna Slovenija",27.3
"Krompir","2014","Osrednjeslovenska",26.0
"Krompir","2014","Gorenjska",29.5
"Krompir","2014","Primorsko-notranjska",30.8
"Krompir","2014","Goriška",27.2
"Krompir","2014","Obalno-kraška",22.6
"Krompir","2015","Pomurska",28.7
"Krompir","2015","Podravska",27.9
"Krompir","2015","Koroška",23.7
"Krompir","2015","Savinjska",26.2
"Krompir","2015","Zasavska",20.7
"Krompir","2015","Posavska",30.7
"Krompir","2015","Jugovzhodna Slovenija",26.4
"Krompir","2015","Osrednjeslovenska",27.5
"Krompir","2015","Gorenjska",29.5
"Krompir","2015","Primorsko-notranjska",25.4
"Krompir","2015","Goriška",26.8
"Krompir","2015","Obalno-kraška",21.1
"Krompir","2016","Pomurska",29.7
"Krompir","2016","Podravska",26.5
"Krompir","2016","Koroška",23.9
"Krompir","2016","Savinjska",25.2
"Krompir","2016","Zasavska",19.6
"Krompir","2016","Posavska",29.6
"Krompir","2016","Jugovzhodna Slovenija",24.6
"Krompir","2016","Osrednjeslovenska",27.2
"Krompir","2016","Gorenjska",30.4
"Krompir","2016","Primorsko-notranjska",26.4
"Krompir","2016","Goriška",25.2
"Krompir","2016","Obalno-kraška",20.2
"Krompir","2017","Pomurska",23.0
"Krompir","2017","Podravska",24.0
"Krompir","2017","Koroška",26.3
"Krompir","2017","Savinjska",23.0
"Krompir","2017","Zasavska",18.1
"Krompir","2017","Posavska",20.7
"Krompir","2017","Jugovzhodna Slovenija",19.7
"Krompir","2017","Osrednjeslovenska",25.9
"Krompir","2017","Gorenjska",29.6
"Krompir","2017","Primorsko-notranjska",25.6
"Krompir","2017","Goriška",25.0
"Krompir","2017","Obalno-kraška",17.6
"Krompir","2018","Pomurska",26.8
"Krompir","2018","Podravska",26.5
"Krompir","2018","Koroška",25.5
"Krompir","2018","Savinjska",21.3
"Krompir","2018","Zasavska",18.5
"Krompir","2018","Posavska",28.1
"Krompir","2018","Jugovzhodna Slovenija",23.2
"Krompir","2018","Osrednjeslovenska",28.1
"Krompir","2018","Gorenjska",27.3
"Krompir","2018","Primorsko-notranjska",25.9
"Krompir","2018","Goriška",27.8
"Krompir","2018","Obalno-kraška",23.4
"Krompir","2019","Pomurska",28.2
"Krompir","2019","Podravska",25.9
"Krompir","2019","Koroška",24.2
"Krompir","2019","Savinjska",18.4
"Krompir","2019","Zasavska",15.9
"Krompir","2019","Posavska",25.4
"Krompir","2019","Jugovzhodna Slovenija",19.6
"Krompir","2019","Osrednjeslovenska",24.5
"Krompir","2019","Gorenjska",26.4
"Krompir","2019","Primorsko-notranjska",22.8
"Krompir","2019","Goriška",19.9
"Krompir","2019","Obalno-kraška",19.9
"Buèe za olje","2010","Pomurska",0.6
"Buèe za olje","2010","Podravska",0.6
"Buèe za olje","2010","Koroška",0.8
"Buèe za olje","2010","Savinjska",0.6
"Buèe za olje","2010","Zasavska",-
"Buèe za olje","2010","Posavska",0.7
"Buèe za olje","2010","Jugovzhodna Slovenija",0.7
"Buèe za olje","2010","Osrednjeslovenska",0.7
"Buèe za olje","2010","Gorenjska",0.7
"Buèe za olje","2010","Primorsko-notranjska",0.7
"Buèe za olje","2010","Goriška",-
"Buèe za olje","2010","Obalno-kraška",0.7
"Buèe za olje","2011","Pomurska",0.7
"Buèe za olje","2011","Podravska",0.6
"Buèe za olje","2011","Koroška",0.7
"Buèe za olje","2011","Savinjska",1.0
"Buèe za olje","2011","Zasavska",-
"Buèe za olje","2011","Posavska",0.7
"Buèe za olje","2011","Jugovzhodna Slovenija",0.4
"Buèe za olje","2011","Osrednjeslovenska",0.7
"Buèe za olje","2011","Gorenjska",0.7
"Buèe za olje","2011","Primorsko-notranjska",0.7
"Buèe za olje","2011","Goriška",0.7
"Buèe za olje","2011","Obalno-kraška",0.7
"Buèe za olje","2012","Pomurska",0.6
"Buèe za olje","2012","Podravska",0.5
"Buèe za olje","2012","Koroška",0.7
"Buèe za olje","2012","Savinjska",0.8
"Buèe za olje","2012","Zasavska",-
"Buèe za olje","2012","Posavska",0.5
"Buèe za olje","2012","Jugovzhodna Slovenija",0.4
"Buèe za olje","2012","Osrednjeslovenska",0.5
"Buèe za olje","2012","Gorenjska",0.5
"Buèe za olje","2012","Primorsko-notranjska",0.5
"Buèe za olje","2012","Goriška",0.5
"Buèe za olje","2012","Obalno-kraška",0.6
"Buèe za olje","2013","Pomurska",0.5
"Buèe za olje","2013","Podravska",0.4
"Buèe za olje","2013","Koroška",0.3
"Buèe za olje","2013","Savinjska",0.4
"Buèe za olje","2013","Zasavska",-
"Buèe za olje","2013","Posavska",0.5
"Buèe za olje","2013","Jugovzhodna Slovenija",0.1
"Buèe za olje","2013","Osrednjeslovenska",0.4
"Buèe za olje","2013","Gorenjska",0.5
"Buèe za olje","2013","Primorsko-notranjska",0.5
"Buèe za olje","2013","Goriška",0.5
"Buèe za olje","2013","Obalno-kraška",0.3
"Buèe za olje","2014","Pomurska",0.5
"Buèe za olje","2014","Podravska",0.6
"Buèe za olje","2014","Koroška",0.4
"Buèe za olje","2014","Savinjska",0.9
"Buèe za olje","2014","Zasavska",-
"Buèe za olje","2014","Posavska",0.5
"Buèe za olje","2014","Jugovzhodna Slovenija",0.3
"Buèe za olje","2014","Osrednjeslovenska",0.5
"Buèe za olje","2014","Gorenjska",0.6
"Buèe za olje","2014","Primorsko-notranjska",0.6
"Buèe za olje","2014","Goriška",0.6
"Buèe za olje","2014","Obalno-kraška",0.8
"Buèe za olje","2015","Pomurska",0.7
"Buèe za olje","2015","Podravska",0.7
"Buèe za olje","2015","Koroška",0.4
"Buèe za olje","2015","Savinjska",1.0
"Buèe za olje","2015","Zasavska",0.7
"Buèe za olje","2015","Posavska",0.6
"Buèe za olje","2015","Jugovzhodna Slovenija",0.5
"Buèe za olje","2015","Osrednjeslovenska",0.9
"Buèe za olje","2015","Gorenjska",0.7
"Buèe za olje","2015","Primorsko-notranjska",0.7
"Buèe za olje","2015","Goriška",0.7
"Buèe za olje","2015","Obalno-kraška",0.2
"Buèe za olje","2016","Pomurska",0.8
"Buèe za olje","2016","Podravska",0.7
"Buèe za olje","2016","Koroška",0.4
"Buèe za olje","2016","Savinjska",1.1
"Buèe za olje","2016","Zasavska",0.8
"Buèe za olje","2016","Posavska",0.5
"Buèe za olje","2016","Jugovzhodna Slovenija",0.6
"Buèe za olje","2016","Osrednjeslovenska",1.2
"Buèe za olje","2016","Gorenjska",0.8
"Buèe za olje","2016","Primorsko-notranjska",0.8
"Buèe za olje","2016","Goriška",0.8
"Buèe za olje","2016","Obalno-kraška",0.5
"Buèe za olje","2017","Pomurska",0.6
"Buèe za olje","2017","Podravska",0.5
"Buèe za olje","2017","Koroška",0.3
"Buèe za olje","2017","Savinjska",0.8
"Buèe za olje","2017","Zasavska",0.6
"Buèe za olje","2017","Posavska",0.5
"Buèe za olje","2017","Jugovzhodna Slovenija",0.6
"Buèe za olje","2017","Osrednjeslovenska",0.8
"Buèe za olje","2017","Gorenjska",0.6
"Buèe za olje","2017","Primorsko-notranjska",0.6
"Buèe za olje","2017","Goriška",0.6
"Buèe za olje","2017","Obalno-kraška",0.5
"Buèe za olje","2018","Pomurska",0.7
"Buèe za olje","2018","Podravska",0.8
"Buèe za olje","2018","Koroška",0.5
"Buèe za olje","2018","Savinjska",1.0
"Buèe za olje","2018","Zasavska",0.8
"Buèe za olje","2018","Posavska",0.8
"Buèe za olje","2018","Jugovzhodna Slovenija",1.0
"Buèe za olje","2018","Osrednjeslovenska",0.7
"Buèe za olje","2018","Gorenjska",0.8
"Buèe za olje","2018","Primorsko-notranjska",0.8
"Buèe za olje","2018","Goriška",0.8
"Buèe za olje","2018","Obalno-kraška",0.4
"Buèe za olje","2019","Pomurska",0.6
"Buèe za olje","2019","Podravska",0.6
"Buèe za olje","2019","Koroška",0.4
"Buèe za olje","2019","Savinjska",0.8
"Buèe za olje","2019","Zasavska",0.6
"Buèe za olje","2019","Posavska",0.8
"Buèe za olje","2019","Jugovzhodna Slovenija",1.2
"Buèe za olje","2019","Osrednjeslovenska",0.7
"Buèe za olje","2019","Gorenjska",0.6
"Buèe za olje","2019","Primorsko-notranjska",0.6
"Buèe za olje","2019","Goriška",0.6
"Buèe za olje","2019","Obalno-kraška",0.4
"Oljna ogršèica in repica","2010","Pomurska",3.0
"Oljna ogršèica in repica","2010","Podravska",2.9
"Oljna ogršèica in repica","2010","Koroška",2.8
"Oljna ogršèica in repica","2010","Savinjska",3.2
"Oljna ogršèica in repica","2010","Zasavska",-
"Oljna ogršèica in repica","2010","Posavska",2.3
"Oljna ogršèica in repica","2010","Jugovzhodna Slovenija",2.4
"Oljna ogršèica in repica","2010","Osrednjeslovenska",3.0
"Oljna ogršèica in repica","2010","Gorenjska",4.2
"Oljna ogršèica in repica","2010","Primorsko-notranjska",-
"Oljna ogršèica in repica","2010","Goriška",2.8
"Oljna ogršèica in repica","2010","Obalno-kraška",-
"Oljna ogršèica in repica","2011","Pomurska",2.9
"Oljna ogršèica in repica","2011","Podravska",3.1
"Oljna ogršèica in repica","2011","Koroška",0.2
"Oljna ogršèica in repica","2011","Savinjska",3.1
"Oljna ogršèica in repica","2011","Zasavska",-
"Oljna ogršèica in repica","2011","Posavska",2.7
"Oljna ogršèica in repica","2011","Jugovzhodna Slovenija",2.4
"Oljna ogršèica in repica","2011","Osrednjeslovenska",3.4
"Oljna ogršèica in repica","2011","Gorenjska",2.5
"Oljna ogršèica in repica","2011","Primorsko-notranjska",-
"Oljna ogršèica in repica","2011","Goriška",2.7
"Oljna ogršèica in repica","2011","Obalno-kraška",-
"Oljna ogršèica in repica","2012","Pomurska",3.3
"Oljna ogršèica in repica","2012","Podravska",3.3
"Oljna ogršèica in repica","2012","Koroška",3.1
"Oljna ogršèica in repica","2012","Savinjska",2.7
"Oljna ogršèica in repica","2012","Zasavska",-
"Oljna ogršèica in repica","2012","Posavska",3.0
"Oljna ogršèica in repica","2012","Jugovzhodna Slovenija",2.0
"Oljna ogršèica in repica","2012","Osrednjeslovenska",3.6
"Oljna ogršèica in repica","2012","Gorenjska",3.3
"Oljna ogršèica in repica","2012","Primorsko-notranjska",3.1
"Oljna ogršèica in repica","2012","Goriška",3.1
"Oljna ogršèica in repica","2012","Obalno-kraška",3.7
"Oljna ogršèica in repica","2013","Pomurska",2.0
"Oljna ogršèica in repica","2013","Podravska",3.2
"Oljna ogršèica in repica","2013","Koroška",0.9
"Oljna ogršèica in repica","2013","Savinjska",2.7
"Oljna ogršèica in repica","2013","Zasavska",2.2
"Oljna ogršèica in repica","2013","Posavska",2.5
"Oljna ogršèica in repica","2013","Jugovzhodna Slovenija",2.3
"Oljna ogršèica in repica","2013","Osrednjeslovenska",3.7
"Oljna ogršèica in repica","2013","Gorenjska",3.6
"Oljna ogršèica in repica","2013","Primorsko-notranjska",-
"Oljna ogršèica in repica","2013","Goriška",2.2
"Oljna ogršèica in repica","2013","Obalno-kraška",3.9
"Oljna ogršèica in repica","2014","Pomurska",3.4
"Oljna ogršèica in repica","2014","Podravska",4.0
"Oljna ogršèica in repica","2014","Koroška",0.9
"Oljna ogršèica in repica","2014","Savinjska",3.6
"Oljna ogršèica in repica","2014","Zasavska",-
"Oljna ogršèica in repica","2014","Posavska",3.1
"Oljna ogršèica in repica","2014","Jugovzhodna Slovenija",3.4
"Oljna ogršèica in repica","2014","Osrednjeslovenska",3.9
"Oljna ogršèica in repica","2014","Gorenjska",3.9
"Oljna ogršèica in repica","2014","Primorsko-notranjska",-
"Oljna ogršèica in repica","2014","Goriška",-
"Oljna ogršèica in repica","2014","Obalno-kraška",-
"Oljna ogršèica in repica","2015","Pomurska",1.8
"Oljna ogršèica in repica","2015","Podravska",2.5
"Oljna ogršèica in repica","2015","Koroška",2.1
"Oljna ogršèica in repica","2015","Savinjska",2.9
"Oljna ogršèica in repica","2015","Zasavska",-
"Oljna ogršèica in repica","2015","Posavska",2.7
"Oljna ogršèica in repica","2015","Jugovzhodna Slovenija",3.0
"Oljna ogršèica in repica","2015","Osrednjeslovenska",3.4
"Oljna ogršèica in repica","2015","Gorenjska",3.0
"Oljna ogršèica in repica","2015","Primorsko-notranjska",-
"Oljna ogršèica in repica","2015","Goriška",2.1
"Oljna ogršèica in repica","2015","Obalno-kraška",3.2
"Oljna ogršèica in repica","2016","Pomurska",2.9
"Oljna ogršèica in repica","2016","Podravska",2.6
"Oljna ogršèica in repica","2016","Koroška",2.8
"Oljna ogršèica in repica","2016","Savinjska",2.3
"Oljna ogršèica in repica","2016","Zasavska",-
"Oljna ogršèica in repica","2016","Posavska",2.7
"Oljna ogršèica in repica","2016","Jugovzhodna Slovenija",2.5
"Oljna ogršèica in repica","2016","Osrednjeslovenska",1.6
"Oljna ogršèica in repica","2016","Gorenjska",2.0
"Oljna ogršèica in repica","2016","Primorsko-notranjska",-
"Oljna ogršèica in repica","2016","Goriška",2.8
"Oljna ogršèica in repica","2016","Obalno-kraška",1.8
"Oljna ogršèica in repica","2017","Pomurska",2.4
"Oljna ogršèica in repica","2017","Podravska",3.2
"Oljna ogršèica in repica","2017","Koroška",2.6
"Oljna ogršèica in repica","2017","Savinjska",2.5
"Oljna ogršèica in repica","2017","Zasavska",2.7
"Oljna ogršèica in repica","2017","Posavska",2.2
"Oljna ogršèica in repica","2017","Jugovzhodna Slovenija",2.6
"Oljna ogršèica in repica","2017","Osrednjeslovenska",2.0
"Oljna ogršèica in repica","2017","Gorenjska",2.6
"Oljna ogršèica in repica","2017","Primorsko-notranjska",-
"Oljna ogršèica in repica","2017","Goriška",2.6
"Oljna ogršèica in repica","2017","Obalno-kraška",2.3
"Oljna ogršèica in repica","2018","Pomurska",2.0
"Oljna ogršèica in repica","2018","Podravska",2.8
"Oljna ogršèica in repica","2018","Koroška",2.2
"Oljna ogršèica in repica","2018","Savinjska",2.1
"Oljna ogršèica in repica","2018","Zasavska",-
"Oljna ogršèica in repica","2018","Posavska",2.5
"Oljna ogršèica in repica","2018","Jugovzhodna Slovenija",2.8
"Oljna ogršèica in repica","2018","Osrednjeslovenska",2.0
"Oljna ogršèica in repica","2018","Gorenjska",3.0
