"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Tritikala","2017","Primorsko-notranjska",4.0
"Tritikala","2017","Goriška",3.4
"Tritikala","2017","Obalno-kraška",3.2
"Tritikala","2018","Pomurska",3.8
"Tritikala","2018","Podravska",4.7
"Tritikala","2018","Koroška",4.2
"Tritikala","2018","Savinjska",3.8
"Tritikala","2018","Zasavska",4.2
"Tritikala","2018","Posavska",4.4
"Tritikala","2018","Jugovzhodna Slovenija",3.9
"Tritikala","2018","Osrednjeslovenska",4.1
"Tritikala","2018","Gorenjska",5.3
"Tritikala","2018","Primorsko-notranjska",4.1
"Tritikala","2018","Goriška",4.4
"Tritikala","2018","Obalno-kraška",3.8
"Tritikala","2019","Pomurska",4.8
"Tritikala","2019","Podravska",5.1
"Tritikala","2019","Koroška",5.0
"Tritikala","2019","Savinjska",4.5
"Tritikala","2019","Zasavska",4.7
"Tritikala","2019","Posavska",4.5
"Tritikala","2019","Jugovzhodna Slovenija",4.1
"Tritikala","2019","Osrednjeslovenska",4.2
"Tritikala","2019","Gorenjska",5.0
"Tritikala","2019","Primorsko-notranjska",4.6
"Tritikala","2019","Goriška",4.1
"Tritikala","2019","Obalno-kraška",4.1
"Oves","2010","Pomurska",2.8
"Oves","2010","Podravska",3.0
"Oves","2010","Koroška",2.2
"Oves","2010","Savinjska",3.1
"Oves","2010","Zasavska",2.9
"Oves","2010","Posavska",3.0
"Oves","2010","Jugovzhodna Slovenija",2.4
"Oves","2010","Osrednjeslovenska",3.3
"Oves","2010","Gorenjska",4.1
"Oves","2010","Primorsko-notranjska",2.7
"Oves","2010","Goriška",2.7
"Oves","2010","Obalno-kraška",2.2
"Oves","2011","Pomurska",3.2
"Oves","2011","Podravska",3.4
"Oves","2011","Koroška",2.4
"Oves","2011","Savinjska",3.1
"Oves","2011","Zasavska",3.2
"Oves","2011","Posavska",3.1
"Oves","2011","Jugovzhodna Slovenija",2.9
"Oves","2011","Osrednjeslovenska",3.0
"Oves","2011","Gorenjska",3.9
"Oves","2011","Primorsko-notranjska",3.4
"Oves","2011","Goriška",2.9
"Oves","2011","Obalno-kraška",2.6
"Oves","2012","Pomurska",3.3
"Oves","2012","Podravska",3.5
"Oves","2012","Koroška",2.3
"Oves","2012","Savinjska",3.1
