"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Grozdje","Pomurska",7.1,10.0,7.6,6.9,5.8,7.6,5.4,6.2,7.1,7.0
"Grozdje","Podravska",5.5,7.1,6.2,6.2,5.7,7.7,6.2,5.9,7.7,7.6
"Grozdje","Koroška",6.5,7.1,5.4,6.4,6.2,7.5,5.9,5.7,8.0,6.8
"Grozdje","Savinjska",7.2,6.4,6.9,5.6,6.0,7.4,4.6,3.2,8.3,6.7
"Grozdje","Zasavska",6.1,6.5,4.9,6.4,6.2,5.1,4.8,5.5,4.6,4.2
"Grozdje","Posavska",6.5,6.5,6.4,7.1,5.3,7.8,7.3,5.1,9.6,7.3
"Grozdje","Jugovzhodna Slovenija",9.2,10.5,7.3,5.9,5.0,6.9,6.6,5.4,8.5,7.1
"Grozdje","Osrednjeslovenska",5.9,7.2,4.8,5.4,4.5,7.1,3.1,6.2,8.0,6.5
"Grozdje","Gorenjska",7.4,7.9,5.9,6.3,6.1,7.4,6.1,5.5,8.2,6.7
"Grozdje","Primorsko-notranjska",5.8,6.3,4.7,6.4,6.2,7.5,6.0,5.6,8.1,6.7
"Grozdje","Goriška",7.2,7.3,4.3,5.6,6.7,7.6,5.9,6.7,8.7,6.0
"Grozdje","Obalno-kraška",5.8,5.8,3.8,6.6,5.6,7.0,5.4,4.4,7.2,5.9
"Jabolka v intenzivnih sadovnjakih","SLOVENIJA",28.0,29.7,20.5,26.3,27.9,34.0,17.7,5.8,37.2,23.9
"Jabolka v intenzivnih sadovnjakih","Pomurska",30.3,29.3,20.3,22.5,25.2,37.1,11.3,5.5,33.4,29.8
"Jabolka v intenzivnih sadovnjakih","Podravska",24.8,28.8,19.2,23.8,25.8,32.1,15.0,7.0,32.8,22.0
"Jabolka v intenzivnih sadovnjakih","Koroška",15.0,23.0,20.0,25.8,10.0,15.0,5.0,5.3,37.7,0.5
"Jabolka v intenzivnih sadovnjakih","Savinjska",29.6,26.0,17.4,25.3,29.1,39.9,5.0,4.7,45.2,29.1
"Jabolka v intenzivnih sadovnjakih","Zasavska",30.0,30.0,20.0,25.8,30.0,26.3,30.0,5.3,34.2,22.6
"Jabolka v intenzivnih sadovnjakih","Posavska",31.8,35.7,25.7,36.5,31.2,32.9,27.1,3.1,38.2,23.5
"Jabolka v intenzivnih sadovnjakih","Jugovzhodna Slovenija",15.2,12.2,14.6,9.9,23.5,33.6,29.6,4.1,52.3,18.7
"Jabolka v intenzivnih sadovnjakih","Osrednjeslovenska",29.7,34.0,23.3,25.1,28.8,33.6,28.2,14.8,38.6,23.7
"Jabolka v intenzivnih sadovnjakih","Gorenjska",25.7,23.2,17.2,21.7,25.8,29.5,25.8,9.5,32.2,10.6
"Jabolka v intenzivnih sadovnjakih","Primorsko-notranjska",28.0,30.0,20.5,29.1,36.8,31.5,29.5,6.7,35.4,23.7
"Jabolka v intenzivnih sadovnjakih","Goriška",26.9,27.9,20.7,19.4,27.7,30.1,29.7,6.8,30.7,20.3
"Jabolka v intenzivnih sadovnjakih","Obalno-kraška",29.7,34.1,5.6,23.4,30.6,34.0,25.9,8.5,41.2,23.8
"Oljke","SLOVENIJA",2.1,1.9,0.8,1.6,0.8,1.5,1.4,1.4,3.0,1.4
"Oljke","Pomurska",-,-,-,-,-,-,-,-,-,-
"Oljke","Podravska",-,-,-,-,-,-,-,-,-,-
"Oljke","Koroška",-,-,-,-,-,-,-,-,-,-
"Oljke","Savinjska",-,-,-,-,-,-,-,-,-,-
"Oljke","Zasavska",-,-,-,-,-,-,-,-,-,-
"Oljke","Posavska",-,-,-,-,-,-,-,-,-,-
"Oljke","Jugovzhodna Slovenija",-,-,-,-,-,-,-,-,-,-
"Oljke","Osrednjeslovenska",-,-,-,-,-,-,-,-,-,-
"Oljke","Gorenjska",-,-,-,-,-,-,-,-,-,-
"Oljke","Primorsko-notranjska",-,-,-,-,-,-,-,-,-,-
"Oljke","Goriška",2.4,1.6,0.9,1.3,1.1,1.1,2.1,2.0,3.9,0.8
"Oljke","Obalno-kraška",2.1,1.9,0.8,1.6,0.8,1.5,1.3,1.3,2.9,1.5
"Breskve in nektarine v intenzivnih sadovnjakih","SLOVENIJA",15.7,16.3,13.6,14.2,11.7,17.5,15.7,8.7,16.9,15.1
"Breskve in nektarine v intenzivnih sadovnjakih","Pomurska",10.0,16.7,10.9,12.3,10.8,12.6,4.4,0.6,9.9,9.6
"Breskve in nektarine v intenzivnih sadovnjakih","Podravska",10.1,11.6,9.4,8.8,8.7,13.2,6.5,4.6,17.4,9.1
"Breskve in nektarine v intenzivnih sadovnjakih","Koroška",-,-,-,-,-,17.7,16.2,9.2,17.0,15.4
"Breskve in nektarine v intenzivnih sadovnjakih","Savinjska",19.3,21.7,19.0,13.2,18.2,16.1,12.8,6.3,12.2,14.4
"Breskve in nektarine v intenzivnih sadovnjakih","Zasavska",16.3,16.5,13.6,14.5,11.9,17.7,16.2,9.2,17.0,15.4
"Breskve in nektarine v intenzivnih sadovnjakih","Posavska",13.2,12.9,18.0,13.2,10.1,13.4,11.9,2.8,13.9,12.5
"Breskve in nektarine v intenzivnih sadovnjakih","Jugovzhodna Slovenija",18.5,17.7,13.1,15.0,20.1,17.2,10.1,3.6,8.5,15.3
"Breskve in nektarine v intenzivnih sadovnjakih","Osrednjeslovenska",16.3,12.3,10.0,10.0,11.9,17.7,16.2,8.0,17.0,15.4
"Breskve in nektarine v intenzivnih sadovnjakih","Gorenjska",16.3,16.5,10.0,14.5,11.9,-,-,-,-,-
"Breskve in nektarine v intenzivnih sadovnjakih","Primorsko-notranjska",-,-,-,-,-,17.7,16.2,9.2,17.0,15.4
"Breskve in nektarine v intenzivnih sadovnjakih","Goriška",17.3,17.6,14.3,16.2,12.4,19.6,18.6,9.8,18.6,17.1
"Breskve in nektarine v intenzivnih sadovnjakih","Obalno-kraška",12.9,13.5,8.3,7.5,8.7,14.3,14.3,15.1,15.0,14.0
