"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Rž in soržica","Savinjska",3.2,3.2,3.2,3.4,3.8,4.1,3.2,3.8,3.0,3.2
"Rž in soržica","Zasavska",-,-,-,3.1,-,-,-,-,3.4,3.8
"Rž in soržica","Posavska",2.8,3.1,3.0,2.6,2.7,3.7,2.8,2.3,2.5,3.4
"Rž in soržica","Jugovzhodna Slovenija",3.7,2.8,3.9,1.9,2.8,4.1,3.6,3.7,3.1,2.2
"Rž in soržica","Osrednjeslovenska",4.1,3.6,3.1,3.3,4.0,3.4,3.8,3.5,2.9,3.1
"Rž in soržica","Gorenjska",3.5,3.8,2.9,3.9,3.7,3.9,3.9,4.4,3.1,3.2
"Rž in soržica","Primorsko-notranjska",4.9,5.2,4.9,4.0,4.5,3.5,3.8,3.5,3.5,3.8
"Rž in soržica","Goriška",-,2.5,2.3,3.0,3.9,3.7,4.0,4.0,3.4,3.8
"Rž in soržica","Obalno-kraška",3.7,4.8,3.5,3.8,4.0,3.8,3.8,4.0,3.8,4.3
"Koruza za zrnje","SLOVENIJA",8.5,8.7,7.1,5.4,9.1,9.0,9.5,7.1,9.5,9.3
"Koruza za zrnje","Pomurska",9.1,9.6,7.5,5.6,9.2,9.0,10.0,7.6,9.4,9.9
"Koruza za zrnje","Podravska",8.7,9.0,7.4,5.8,9.4,9.4,9.4,7.4,10.0,9.2
"Koruza za zrnje","Koroška",7.5,7.8,7.5,4.0,7.6,7.3,8.6,7.3,9.2,8.7
"Koruza za zrnje","Savinjska",6.9,6.3,7.2,4.4,8.1,7.9,8.0,5.2,7.1,6.6
"Koruza za zrnje","Zasavska",3.9,4.1,3.3,2.8,4.3,5.0,4.8,3.9,4.6,4.7
"Koruza za zrnje","Posavska",7.6,5.6,5.5,4.4,9.0,8.9,9.8,5.4,9.6,9.8
"Koruza za zrnje","Jugovzhodna Slovenija",7.4,8.1,6.3,4.9,9.1,8.7,10.0,5.9,10.0,8.8
"Koruza za zrnje","Osrednjeslovenska",6.8,7.4,6.4,5.2,8.1,7.1,7.0,6.3,6.8,6.7
"Koruza za zrnje","Gorenjska",8.7,9.3,7.7,5.4,8.9,9.5,9.4,9.0,9.6,8.7
"Koruza za zrnje","Primorsko-notranjska",7.3,7.0,3.9,5.5,7.2,7.4,7.3,5.1,8.0,7.9
"Koruza za zrnje","Goriška",8.8,8.4,2.5,2.8,9.4,7.7,6.3,6.6,9.0,5.1
"Koruza za zrnje","Obalno-kraška",6.5,6.2,2.8,3.9,6.1,5.7,4.6,4.2,6.4,5.7
"Silažna koruza","SLOVENIJA",44.1,46.5,39.4,30.3,48.0,49.4,49.7,40.5,48.8,47.4
"Silažna koruza","Pomurska",46.8,68.1,38.0,30.6,47.7,45.9,49.6,38.5,47.2,49.8
"Silažna koruza","Podravska",45.2,45.7,39.7,32.5,46.1,51.0,49.5,41.7,50.8,47.5
"Silažna koruza","Koroška",41.3,41.7,40.6,28.4,42.0,44.2,45.6,43.0,45.4,45.6
"Silažna koruza","Savinjska",40.7,40.7,36.7,26.1,48.3,49.3,50.3,36.7,46.9,45.6
"Silažna koruza","Zasavska",38.6,39.7,34.7,31.1,44.6,47.2,38.1,33.1,41.0,40.6
"Silažna koruza","Posavska",40.7,28.8,30.0,26.8,43.8,47.9,47.5,28.6,48.8,51.1
"Silažna koruza","Jugovzhodna Slovenija",40.5,42.6,35.1,21.9,47.8,47.4,49.4,29.3,48.3,42.3
"Silažna koruza","Osrednjeslovenska",45.1,47.9,43.2,34.0,49.5,51.4,50.4,45.7,50.1,49.5
"Silažna koruza","Gorenjska",48.5,51.0,47.2,35.6,52.7,51.8,53.6,53.2,50.9,52.2
"Silažna koruza","Primorsko-notranjska",44.3,40.5,23.9,31.0,46.3,44.1,40.3,31.9,40.4,45.1
"Silažna koruza","Goriška",39.5,40.2,14.4,18.9,37.9,34.3,27.4,25.6,32.8,20.5
"Silažna koruza","Obalno-kraška",44.0,52.0,38.0,32.0,47.0,45.0,40.0,35.0,43.0,30.0
"Krompir","SLOVENIJA",24.5,26.4,23.4,18.8,26.9,27.4,26.8,24.4,25.9,23.6
"Krompir","Pomurska",26.9,29.3,23.2,19.9,28.9,28.7,29.7,23.0,26.8,28.2
"Krompir","Podravska",24.4,25.6,23.9,19.9,24.7,27.9,26.5,24.0,26.5,25.9
"Krompir","Koroška",19.0,19.5,19.0,17.0,20.5,23.7,23.9,26.3,25.5,24.2
"Krompir","Savinjska",22.7,23.6,22.3,16.5,25.1,26.2,25.2,23.0,21.3,18.4
"Krompir","Zasavska",16.4,18.6,17.2,20.7,18.3,20.7,19.6,18.1,18.5,15.9
"Krompir","Posavska",21.8,24.3,24.3,21.6,30.1,30.7,29.6,20.7,28.1,25.4
"Krompir","Jugovzhodna Slovenija",21.0,24.2,23.9,15.4,27.3,26.4,24.6,19.7,23.2,19.6
"Krompir","Osrednjeslovenska",25.1,27.0,24.6,20.2,26.0,27.5,27.2,25.9,28.1,24.5
"Krompir","Gorenjska",27.4,29.5,25.9,18.4,29.5,29.5,30.4,29.6,27.3,26.4
"Krompir","Primorsko-notranjska",26.5,27.9,21.9,22.1,30.8,25.4,26.4,25.6,25.9,22.8
"Krompir","Goriška",26.6,29.3,19.7,18.2,27.2,26.8,25.2,25.0,27.8,19.9
"Krompir","Obalno-kraška",23.1,22.7,15.1,15.7,22.6,21.1,20.2,17.6,23.4,19.9
"Buèe za olje","SLOVENIJA",0.6,0.7,0.6,0.5,0.6,0.7,0.8,0.6,0.8,0.6
"Buèe za olje","Pomurska",0.6,0.7,0.6,0.5,0.5,0.7,0.8,0.6,0.7,0.6
"Buèe za olje","Podravska",0.6,0.6,0.5,0.4,0.6,0.7,0.7,0.5,0.8,0.6
"Buèe za olje","Koroška",0.8,0.7,0.7,0.3,0.4,0.4,0.4,0.3,0.5,0.4
"Buèe za olje","Savinjska",0.6,1.0,0.8,0.4,0.9,1.0,1.1,0.8,1.0,0.8
"Buèe za olje","Zasavska",-,-,-,-,-,0.7,0.8,0.6,0.8,0.6
"Buèe za olje","Posavska",0.7,0.7,0.5,0.5,0.5,0.6,0.5,0.5,0.8,0.8
"Buèe za olje","Jugovzhodna Slovenija",0.7,0.4,0.4,0.1,0.3,0.5,0.6,0.6,1.0,1.2
"Buèe za olje","Osrednjeslovenska",0.7,0.7,0.5,0.4,0.5,0.9,1.2,0.8,0.7,0.7
"Buèe za olje","Gorenjska",0.7,0.7,0.5,0.5,0.6,0.7,0.8,0.6,0.8,0.6
"Buèe za olje","Primorsko-notranjska",0.7,0.7,0.5,0.5,0.6,0.7,0.8,0.6,0.8,0.6
"Buèe za olje","Goriška",-,0.7,0.5,0.5,0.6,0.7,0.8,0.6,0.8,0.6
"Buèe za olje","Obalno-kraška",0.7,0.7,0.6,0.3,0.8,0.2,0.5,0.5,0.4,0.4
"Oljna ogršèica in repica","SLOVENIJA",2.9,2.9,3.2,2.5,3.6,2.2,2.7,2.6,2.3,2.9
"Oljna ogršèica in repica","Pomurska",3.0,2.9,3.3,2.0,3.4,1.8,2.9,2.4,2.0,3.1
"Oljna ogršèica in repica","Podravska",2.9,3.1,3.3,3.2,4.0,2.5,2.6,3.2,2.8,2.7
"Oljna ogršèica in repica","Koroška",2.8,0.2,3.1,0.9,0.9,2.1,2.8,2.6,2.2,-
"Oljna ogršèica in repica","Savinjska",3.2,3.1,2.7,2.7,3.6,2.9,2.3,2.5,2.1,3.0
"Oljna ogršèica in repica","Zasavska",-,-,-,2.2,-,-,-,2.7,-,-
"Oljna ogršèica in repica","Posavska",2.3,2.7,3.0,2.5,3.1,2.7,2.7,2.2,2.5,2.7
"Oljna ogršèica in repica","Jugovzhodna Slovenija",2.4,2.4,2.0,2.3,3.4,3.0,2.5,2.6,2.8,2.9
"Oljna ogršèica in repica","Osrednjeslovenska",3.0,3.4,3.6,3.7,3.9,3.4,1.6,2.0,2.0,2.0
"Oljna ogršèica in repica","Gorenjska",4.2,2.5,3.3,3.6,3.9,3.0,2.0,2.6,3.0,3.0
"Oljna ogršèica in repica","Primorsko-notranjska",-,-,3.1,-,-,-,-,-,2.3,2.9
"Oljna ogršèica in repica","Goriška",2.8,2.7,3.1,2.2,-,2.1,2.8,2.6,2.2,3.0
"Oljna ogršèica in repica","Obalno-kraška",-,-,3.7,3.9,-,3.2,1.8,2.3,2.4,2.4
"Hmelj","SLOVENIJA",1.4,1.6,1.2,1.1,1.8,1.5,1.7,1.4,1.8,1.6
"Hmelj","Pomurska",-,-,-,-,-,-,-,-,-,-
"Hmelj","Podravska",0.4,1.6,1.1,1.2,1.3,0.7,1.6,1.0,0.9,1.4
"Hmelj","Koroška",1.9,2.1,1.7,1.6,2.1,2.0,1.9,1.9,2.3,1.9
"Hmelj","Savinjska",1.4,1.5,1.1,0.9,1.7,1.4,1.6,1.3,1.9,1.5
"Hmelj","Zasavska",-,-,-,-,-,-,-,-,-,-
"Hmelj","Posavska",-,-,-,-,-,-,-,-,-,-
"Hmelj","Jugovzhodna Slovenija",-,-,-,-,-,-,-,-,-,-
"Hmelj","Osrednjeslovenska",-,-,-,-,-,-,1.7,-,-,-
"Hmelj","Gorenjska",-,-,-,-,-,-,-,-,-,-
"Hmelj","Primorsko-notranjska",-,-,-,-,-,-,-,-,-,-
"Hmelj","Goriška",-,-,-,-,-,-,-,-,-,-
"Hmelj","Obalno-kraška",-,-,-,-,-,-,-,-,-,-
"Trave (1 do 5 let)","SLOVENIJA",7.3,7.1,5.6,5.1,7.0,7.4,7.6,5.8,7.4,7.6
"Trave (1 do 5 let)","Pomurska",8.7,8.4,6.1,4.9,7.7,7.3,7.9,5.6,7.2,7.8
"Trave (1 do 5 let)","Podravska",8.3,7.7,6.0,4.7,6.2,7.7,7.8,6.5,8.1,8.9
"Trave (1 do 5 let)","Koroška",7.3,7.2,6.8,4.3,6.9,6.4,7.3,6.9,6.8,7.6
"Trave (1 do 5 let)","Savinjska",7.9,7.1,6.7,5.2,7.5,7.6,7.7,5.3,8.6,8.4
"Trave (1 do 5 let)","Zasavska",4.5,4.1,3.6,3.5,4.4,5.7,5.0,3.9,3.9,4.1
"Trave (1 do 5 let)","Posavska",7.0,6.0,5.3,5.4,6.4,7.3,7.6,4.7,6.7,7.9
"Trave (1 do 5 let)","Jugovzhodna Slovenija",6.6,7.3,5.4,5.3,8.5,8.7,9.0,5.8,7.7,7.3
"Trave (1 do 5 let)","Osrednjeslovenska",6.4,6.2,5.3,5.8,6.0,6.7,6.6,5.2,6.4,6.7
"Trave (1 do 5 let)","Gorenjska",8.5,8.3,7.4,5.4,8.4,7.9,8.3,7.9,8.7,8.4
"Trave (1 do 5 let)","Primorsko-notranjska",4.6,5.4,4.0,4.7,5.2,5.7,5.7,4.5,6.3,6.1
"Trave (1 do 5 let)","Goriška",9.1,8.3,3.7,5.2,7.3,6.2,5.7,4.5,7.0,5.4
"Trave (1 do 5 let)","Obalno-kraška",5.7,4.9,2.1,3.0,4.3,3.7,3.9,3.9,4.3,4.2
"Travno deteljne mešanice (1 do 5 let)","SLOVENIJA",7.5,7.3,5.9,5.4,7.4,7.7,7.6,6.2,7.6,7.6
"Travno deteljne mešanice (1 do 5 let)","Pomurska",8.0,8.0,5.6,5.2,8.6,7.6,7.9,6.1,7.4,7.4
"Travno deteljne mešanice (1 do 5 let)","Podravska",8.1,7.1,5.8,4.6,6.6,7.4,7.4,6.3,8.2,8.3
"Travno deteljne mešanice (1 do 5 let)","Koroška",7.9,7.5,7.0,4.9,6.1,6.0,6.7,6.2,7.5,7.6
"Travno deteljne mešanice (1 do 5 let)","Savinjska",8.0,7.7,6.3,5.4,8.1,8.6,8.5,6.9,8.5,8.7
"Travno deteljne mešanice (1 do 5 let)","Zasavska",5.5,4.6,3.7,3.7,4.7,6.2,5.1,3.8,4.2,4.5
"Travno deteljne mešanice (1 do 5 let)","Posavska",6.9,6.3,5.8,5.7,7.0,7.9,7.9,4.8,7.3,8.2
"Travno deteljne mešanice (1 do 5 let)","Jugovzhodna Slovenija",7.0,7.8,5.4,5.2,8.6,9.2,9.4,6.0,8.5,7.6
"Travno deteljne mešanice (1 do 5 let)","Osrednjeslovenska",7.0,6.7,6.0,6.3,7.3,7.4,7.1,6.0,6.5,7.0
"Travno deteljne mešanice (1 do 5 let)","Gorenjska",7.7,7.4,6.7,5.2,7.8,7.8,7.8,7.8,7.4,7.4
